radius_nm,temperature_C,pH,degradation_rate_per_hour,t50_hours,t90_hours,error
300,25,8.0,0.05,15.631262525050099,33.66733466933867,18.627395070702544
250,35,6.5,0.03,15.631262525050099,33.66733466933867,18.627395070702544
250,40,6.0,0.05,16.23246492985972,35.07014028056112,18.7783984803274
200,37,6.5,0.01,13.42685370741483,31.863727454909817,19.144662069630265
350,35,7.4,0.05,16.23246492985972,34.86973947895792,19.191248227918766
350,40,7.0,0.05,15.831663326653306,33.86773547094188,19.228195870699324
200,35,6.0,0.03,15.430861723446894,33.26653306613226,19.242653643961287
350,37,7.4,0.05,15.430861723446894,33.26653306613226,19.242653643961287
150,30,5.5,0.02,16.432865731462925,36.07214428857715,19.655503391552642
200,37,5.5,0.05,16.432865731462925,35.47094188376754,19.93020108352978
300,25,7.4,0.05,16.432865731462925,35.27054108216433,20.18240890598833
300,35,7.0,0.03,16.432865731462925,35.27054108216433,20.18240890598833
200,40,5.5,0.05,15.430861723446894,33.06613226452906,20.378392054650373
350,35,8.0,0.05,15.430861723446894,33.06613226452906,20.378392054650373
100,25,5.5,0.005,12.22444889779559,31.462925851703403,20.635419134862943
200,30,6.5,0.01,16.23246492985972,37.6753507014028,20.720559355183298
150,35,5.5,0.02,14.629258517034067,32.26452905811623,20.866743507054192
300,40,8.0,0.01,16.23246492985972,37.87575150300601,21.432203083521745
250,40,7.0,0.005,15.631262525050099,38.877755511022045,21.46754430705097
300,37,6.5,0.05,16.63326653306613,36.07214428857715,21.472363564804947
200,25,6.0,0.05,16.63326653306613,36.07214428857715,21.472363564804947
150,25,5.5,0.03,16.63326653306613,36.07214428857715,21.472363564804947
400,40,8.0,0.05,16.63326653306613,35.87174348697395,21.483608499564244
300,35,7.4,0.03,15.030060120240481,32.46492985971944,21.677985228974975
250,30,6.5,0.05,15.030060120240481,32.46492985971944,21.677985228974975
250,37,6.5,0.02,16.63326653306613,36.47294589178356,21.69083658298559
300,35,7.4,0.02,16.63326653306613,36.673346693386776,21.920554535925547
250,37,6.5,0.03,14.829659318637274,32.26452905811623,21.96071501720877
200,35,6.5,0.005,15.631262525050099,39.07815631262525,22.661113810787874
350,40,7.4,0.03,16.833667334669336,36.07214428857715,23.369544700623667
300,30,7.4,0.03,16.833667334669336,36.27254509018036,23.43862072843078
350,37,7.0,0.05,16.833667334669336,36.27254509018036,23.43862072843078
150,30,5.5,0.03,14.829659318637274,32.06412825651302,23.498058240729982
200,30,6.0,0.05,14.829659318637274,32.06412825651302,23.498058240729982
200,25,7.4,0.01,13.226452905811623,31.262525050100198,23.947855631101906
150,25,6.0,0.01,16.432865731462925,38.07615230460921,23.96070698511247
200,37,6.0,0.03,14.629258517034067,31.863727454909817,24.021750916663
250,30,7.4,0.02,14.42885771543086,31.663326653306612,24.706085517728848
250,37,8.0,0.01,13.026052104208418,31.062124248496993,25.435399857831914
150,25,6.0,0.02,14.228456913827655,31.462925851703403,25.551062043927566
250,25,7.4,0.03,14.629258517034067,31.663326653306612,25.71973606531701
300,40,7.0,0.03,14.629258517034067,31.663326653306612,25.71973606531701
350,37,8.0,0.05,14.629258517034067,31.663326653306612,25.71973606531701
350,37,8.0,0.03,17.034068136272545,36.673346693386776,25.795237770129436
250,25,6.5,0.05,17.034068136272545,36.673346693386776,25.795237770129436
200,35,7.0,0.005,12.024048096192384,30.861723446893787,26.40246424713154
300,40,8.0,0.02,14.028056112224448,31.262525050100198,26.556680495259073
150,30,6.0,0.005,15.831663326653306,39.47895791583166,26.784792028947628
200,35,6.0,0.02,17.034068136272545,37.4749498997996,27.517319207553374
250,30,7.4,0.01,16.63326653306613,38.476953907815634,27.602459427873782
200,30,6.5,0.02,14.028056112224448,31.062124248496993,28.495628531612333
150,40,6.0,0.005,11.823647294589177,30.66132264529058,28.5325761743929
200,30,6.0,0.03,17.23446893787575,37.07414829659319,28.553459624660128
200,35,5.5,0.05,17.23446893787575,37.07414829659319,28.553459624660128
350,30,8.0,0.05,17.23446893787575,37.27454909819639,29.02414046529931
200,25,6.5,0.03,14.228456913827655,31.062124248496993,29.348637154067667
300,30,7.4,0.05,14.629258517034067,31.262525050100198,29.356669250324313
250,35,7.0,0.02,13.827655310621243,30.861723446893787,29.74220987064309
150,37,5.5,0.02,13.827655310621243,30.861723446893787,29.74220987064309
350,40,7.4,0.05,14.42885771543086,31.062124248496993,30.28196673908941
300,37,7.4,0.03,14.42885771543086,31.062124248496993,30.28196673908941
150,25,5.5,0.05,14.42885771543086,31.062124248496993,30.28196673908941
250,40,7.4,0.01,12.825651302605209,30.460921843687373,31.36308689523337
300,35,8.0,0.03,14.228456913827655,30.861723446893787,31.367906152987338
250,30,6.5,0.03,17.43486973947896,37.6753507014028,32.34460905779493
300,35,6.5,0.05,17.43486973947896,37.6753507014028,32.34460905779493
400,40,7.4,0.05,17.43486973947896,37.6753507014028,32.34460905779493
250,37,6.0,0.05,17.43486973947896,37.6753507014028,32.34460905779493
250,35,7.4,0.005,16.03206412825651,40.08016032064128,32.90524937650852
200,25,7.0,0.005,16.03206412825651,40.08016032064128,32.90524937650852
200,30,7.0,0.01,12.625250501002002,30.260521042084168,33.33255689736186
250,30,7.0,0.03,14.228456913827655,30.66132264529058,33.46749611447346
300,37,7.0,0.02,17.43486973947896,38.07615230460921,33.84821747703822
250,35,6.5,0.02,17.43486973947896,38.07615230460921,33.84821747703822
150,35,5.5,0.01,16.833667334669336,39.278557114228455,34.11327665350738
350,35,7.0,0.05,17.635270541082164,37.87575150300601,35.27471777221776
200,30,8.0,0.005,11.623246492985972,30.060120240480963,35.42411476259131
250,30,8.0,0.02,13.627254509018035,30.260521042084168,35.58957594547813
300,35,7.0,0.05,14.228456913827655,30.460921843687373,35.64740703852597
250,40,6.5,0.03,14.028056112224448,30.260521042084168,37.054630302689546
150,35,6.0,0.01,12.424849699398797,29.859719438877754,37.883542636374976
250,25,8.0,0.03,13.827655310621243,30.060120240480963,38.62249549198597
