degradation_rate_per_hour,t50_hours,t90_hours
0.001,94.40118345050156,231.8039551133684
0.003,77.92702194448441,175.37064788222568
0.005,69.0486446249941,151.111577680696
0.01,57.170724655223964,122.86391557267433
0.02,46.57851268764399,100.96550506485436
0.03,41.269320183486926,91.209576501963
0.05,35.64142011971349,82.01843827986072
