temperature_celsius,t50_hours,t90_hours
20,104.12812104199278,224.10350749737074
25,91.98389256173779,198.63955543927247
30,81.48054401097474,176.79688260454108
35,72.35916729826651,157.93767796292184
37,69.0486446249941,151.111577680696
40,64.40850506669794,141.56399098071222
45,57.45595723576907,127.25781404796946
