diffusion_scale,RMSE,MAE,R_squared
0.01,54.6161438980796,44.334515270780116,-1.27889762472866
0.02,51.33983066503259,41.822490485594344,-1.0136853540266437
0.03,48.604234140968444,39.736469455121316,-0.8048077874228436
0.04,46.09618626043427,37.83576008138866,-0.6233521447922186
0.05,43.69148839242219,36.02314360751181,-0.4583992315200103
0.060000000000000005,41.343587414266494,34.25917763538563,-0.30586734996466647
0.06999999999999999,39.04319412943146,32.53096440684419,-0.16459099546394307
0.08,36.80026903660878,30.84081502779651,-0.034629208938024236
0.09,34.62512679842666,29.193219860447023,0.08406323309767538
0.09999999999999999,32.52850485963512,27.594311205797474,0.19162857888407536
0.11,30.518495643602847,26.04920802716301,0.28844415315351823
0.12,28.599889366281197,24.561439504461514,0.3750986630220283
0.13,26.77508071570642,23.132954815796143,0.4522980022714802
0.14,25.044962900188377,21.764951309125507,0.5207925811644354
0.15000000000000002,23.407521341104566,20.456287520286672,0.5814054172695022
0.16,21.862180928085323,19.206943774359008,0.6348513361294468
0.17,20.404917862489604,18.014173679662353,0.6819082178014678
0.18000000000000002,19.034382770997656,16.877207778066754,0.7232036591912363
0.19,17.745501155697195,15.792010466832505,0.7594201302935553
0.2,16.53648422695538,14.757109792610587,0.791085247136361
0.21000000000000002,15.402696374104696,13.768313075457886,0.8187507340005227
0.22,14.346146057748008,12.826893561370019,0.8427635450404869
0.23,13.361260536991612,11.927216806972528,0.8636115440698313
0.24000000000000002,12.448935152714126,11.06909252571431,0.8816012392060809
0.25,11.607605998302999,10.249541753042575,0.8970638160485014
0.26,10.837043017528243,9.466536710010159,0.9102768851679783
0.27,10.137322393302808,8.717901915661713,0.9214892250045625
0.28,9.509628854428923,8.002280433901383,0.9309108447741724
0.29000000000000004,8.954801281762856,7.317657512777052,0.9387375088090396
0.3,8.473887834458916,6.662243294469135,0.9451409642502155
0.31,8.06787612732418,6.034366140025642,0.9502719773502948
0.32,7.737490228146605,5.432944540946201,0.954261388690624
0.33,7.482141438424342,4.856219152790323,0.9572304604450508
0.34,7.300237703211598,4.693771940343998,0.9592847833172976
0.35000000000000003,7.188905917609846,4.57228369905408,0.960517163311084
0.36000000000000004,7.143816118527261,4.451748821583711,0.9610108935492293
0.37,7.158934036369441,4.6257778969793035,0.9608456995448797
0.38,7.2284852146997265,4.90769967142099,0.9600812124846335
0.39,7.345182522890471,5.184829682668999,0.9587819034750048
0.4,7.5021031002278695,5.457129760144386,0.9570019456660627
0.41000000000000003,7.692640692028953,5.724377020933301,0.9547900899123369
0.42000000000000004,7.910679981552028,5.986389872830776,0.9521909207852264
0.43,8.150735646382781,6.243009205685608,0.9492452885277155
0.44,8.408054677232354,6.494095934401585,0.9459900466683431
0.45,8.678617304649514,6.739632269312414,0.9424581496063437
0.46,8.959192392324738,6.979795581359136,0.9386774122596856
0.47000000000000003,9.246991492826997,7.214602064523161,0.9346743614303165
0.48000000000000004,9.539468568922448,7.443818151854709,0.9304765827883671
0.49,9.83484700072025,7.668416182294067,0.9261045048297035
0.5,10.131202127659929,7.886501480887543,0.9215839959372718
0.51,10.427375100082944,8.09912183915756,0.916932193871297
0.52,10.72234035994699,8.306365383648501,0.9121661487943704
0.53,11.015664733449613,8.541294802920834,0.9072947847586146
0.54,11.306272670153435,8.775786062391834,0.9023388896667979
0.55,11.593675885436102,9.001986688291584,0.8973107321227141
0.56,11.87742011983519,9.220223393697404,0.8922227782777516
0.5700000000000001,12.157154860948884,9.430838803433014,0.8870862982915939
0.5800000000000001,12.432607779172523,9.634186146078326,0.8819116068105975
0.59,12.703680698046258,9.830567914411805,0.8767060159444913
0.6,12.97076806794728,10.021146846260558,0.8714671507061293
0.61,13.232626237280975,10.20453333326634,0.8662250371195788
0.62,13.489716567581661,10.381796186065548,0.8609764426220657
0.63,13.74200395286617,10.553185738629077,0.8557277231152101
0.64,13.989465155211686,10.718922603070025,0.8504849297188193
0.65,14.232108220146198,10.87923136562477,0.8452533619793485
0.66,14.469885305273884,11.034297150170378,0.8400394366340977
0.67,14.701328757942894,11.183515296681696,0.8348814269730147
0.68,14.929434716359768,11.328645399611995,0.8297177125108292
0.6900000000000001,15.152882440427312,11.469173538257905,0.8245823634513316
0.7000000000000001,15.371451279893595,11.60507496675972,0.8194853334850469
0.7100000000000001,15.585727840040894,11.736862181906803,0.814417541346482
0.72,15.795375856721602,11.864425079404572,0.8093913187328843
0.73,16.000563711723895,11.987976147601318,0.8044069970677911
0.74,16.20135784060567,12.10766608497723,0.7994671267790942
0.75,16.397833439840856,12.223627484889473,0.7945738678663274
0.76,16.590067812708725,12.335992466082045,0.7897291501363205
0.77,16.778161076174218,12.444901141134226,0.784934144245189
0.78,16.96216469239486,12.550450917868208,0.7801910868798114
0.79,17.142101436631744,12.652733910827795,0.775502830920782
0.8,17.318104999009297,12.751900994965014,0.7708691931477081
0.81,17.490251092593695,12.848049416446873,0.7662913233897545
0.8200000000000001,17.65860760013954,12.941270941035658,0.7617704339812881
0.8300000000000001,17.82325034977507,13.031661163966533,0.757307384406769
0.8400000000000001,17.984254511533074,13.119311135515085,0.7529029118405958
0.85,18.141689511187238,13.204304829630669,0.7485577771851855
0.86,18.295577503976315,13.286697289205714,0.7442739368293629
0.87,18.446040111623592,13.366604396668686,0.7400504649706319
0.88,18.59318003645115,13.444128834539338,0.7358868063773856
0.89,18.737045047813428,13.519323938577491,0.7317838344980164
