burst_fraction,burst_percent,RMSE,MAE,R_squared
0.05,5.0,20.129058147947745,14.452270820709439,0.6904508210428996
0.060000000000000005,6.000000000000001,20.18452588657858,14.500331127859866,0.6887424798292268
0.07,7.000000000000001,20.257843422027438,14.548391435010291,0.6864771721557155
0.08000000000000002,8.000000000000002,20.34881781479504,14.596451742160719,0.6836548980223658
0.09000000000000001,9.000000000000002,20.45721350308933,14.644512049311151,0.6802756574291775
0.1,10.0,20.58275524960545,14.692572356461573,0.6763394503761511
0.11000000000000001,11.000000000000002,20.725131471772663,14.740632663612008,0.671846276863286
0.12000000000000001,12.000000000000002,20.883997866363675,14.81464842667007,0.6667961368905828
0.13,13.0,21.05898123711648,15.221686512730637,0.6611890304580411
0.14,14.000000000000002,21.249683435549944,15.628724598791205,0.655024957565661
0.15000000000000002,15.000000000000002,21.455685329997447,16.035762684851772,0.6483039182134425
0.16000000000000003,16.000000000000004,21.67655072541685,16.44280077091234,0.6410259124013855
0.17000000000000004,17.000000000000004,21.911830166058518,16.84983885697291,0.6331909401294904
0.18000000000000005,18.000000000000004,22.16106456386369,17.256876943033472,0.6247990013977567
0.19,19.0,22.423788606838905,17.663915029094046,0.6158500962061844
0.2,20.0,22.69953391300318,18.070953115154616,0.6063442245547739
0.21000000000000002,21.000000000000004,22.98783190633438,18.47799120121518,0.5962813864435251
0.22000000000000003,22.000000000000004,23.28821640107093,18.885029287275746,0.5856615818724378
0.23000000000000004,23.000000000000004,23.60022588949634,19.292067373336312,0.574484810841512
0.24000000000000005,24.000000000000004,23.92340553579941,19.699105459396883,0.5627510733507479
0.25000000000000006,25.000000000000007,24.25730888471148,20.10614354545745,0.5504603694001455
0.26000000000000006,26.000000000000007,24.601499298400654,20.51318163151802,0.5376126989897044
0.27,27.0,24.955551138635126,20.920219717578576,0.5242080621194254
0.28,28.000000000000004,25.31905071363812,21.32725780363915,0.5102464587893074
0.29000000000000004,29.000000000000004,25.691597010490508,21.734295889699716,0.4957278889993514
0.30000000000000004,30.000000000000004,26.072802234551453,22.141333975760283,0.48065235274955687
0.31000000000000005,31.000000000000007,26.462292177314076,22.54837206182085,0.46501985003992397
0.32000000000000006,32.00000000000001,26.859706433540275,22.95541014788142,0.44883038087045257
0.33,33.0,27.264698487555506,23.362448233941983,0.43208394524114313
0.34,34.0,27.676935687347672,23.76948632000255,0.414780543151995
0.35000000000000003,35.0,28.096099123699837,24.176524406063116,0.39692017460300855
0.36000000000000004,36.00000000000001,28.52188343007655,24.583562492123686,0.3785028395941833
0.37000000000000005,37.00000000000001,28.953996517439585,24.990600578184257,0.3595285381255201
0.38000000000000006,38.00000000000001,29.392159256642785,25.39763866424482,0.3399972701970183
0.39000000000000007,39.00000000000001,29.83610511958156,25.80467675030539,0.31990903580867835
0.4000000000000001,40.00000000000001,30.285579788878238,26.21171483636595,0.2992638349605
