radius_nm,t50_hours,t90_hours
50,6.562578960450317,17.6946505474832
100,22.87987112559181,55.098022170865484
150,44.4498575124947,100.46246042415657
200,69.0486446249941,151.111577680696
250,95.79151494757637,206.5947301792931
300,124.31981401368716,267.0189718627732
400,186.30846259566331,403.85198938163757
500,254.84183918030928,
