pH,t50_hours,t90_hours
5.0,188.1140779044322,407.9608664315256
5.5,164.15596077046357,354.0345197665314
6.0,127.11019262155843,273.00803806775406
6.5,93.78778987489558,202.45987057318877
7.0,75.46838751651008,164.35515237150096
7.4,69.0486446249941,151.111577680696
8.0,65.58112917194542,143.97703691368858
